gameID,team1,team2,winner,duration,gold1,gold2,kills1,kills2,bans1,bans2,towers1,inhibs1,barons1,dragons1,heralds1,towers2,inhibs2,barons2,dragons2,heralds2
1,T1,Team Liquid,T1,36:29,67.2k,66.5k,15,14,"['Ziggs', 'Neeko', 'Kalista', 'Kennen', 'Blitzcrank']","['Caitlyn', 'Poppy', 'Azir', 'Jarvan IV', 'Gnar']",7,1,0,2,0,6,0,2,2,2
2,Cloud9,MAD Lions,Cloud9,30:60,59.8k,52.6k,10,3,"['Ivern', 'Kalista', 'Azir', 'Rumble', 'Ahri']","['Orianna', 'LeBlanc', 'Maokai', 'Nautilus', 'Rell']",9,1,2,3,1,4,0,0,1,1
3,Gen.G,GAM Esports,Gen.G,22:35,50.4k,37.4k,22,5,"['Syndra', 'Kalista', 'Maokai', 'Rumble', 'Renata Glasc']","['Poppy', 'Rakan', 'Orianna', 'Taliyah', 'LeBlanc']",9,2,1,2,1,1,0,0,0,1
4,Team BDS,JD Gaming,JD Gaming,27:05,47k,53.2k,6,14,"['Kalista', 'Taliyah', 'Kennen', 'Neeko', 'Renekton']","['Darius', 'Orianna', 'Maokai', 'Azir', 'Olaf']",5,0,0,1,1,9,2,1,3,1
5,G2 Esports,Dplus KIA,G2 Esports,42:12,80.8k,68.3k,16,9,"['Caitlyn', 'Jarvan IV', 'Lee Sin', 'Vi', 'Rumble']","['Neeko', 'Kalista', ""K'Sante"", 'Jax', 'Pyke']",10,2,1,5,2,4,0,2,1,0
6,Weibo Gaming,NRG,Weibo Gaming,29:12,61k,45.8k,12,3,"['Neeko', 'Xayah', 'Rell', 'Renekton', ""K'Sante""]","['Maokai', 'Orianna', 'Vi', 'Nautilus', 'Blitzcrank']",9,1,2,3,2,2,0,0,1,0
7,LNG Esports,Fnatic,LNG Esports,29:11,60.8k,50.4k,22,9,"['Poppy', 'Kalista', 'Lee Sin', 'Alistar', 'Viego']","['Orianna', 'Rumble', 'Maokai', 'Syndra', 'Neeko']",9,1,2,2,2,4,0,0,2,0
8,Bilibili Gaming,KT Rolster,Bilibili Gaming,45:17,85.8k,76.1k,20,10,"['Rumble', 'Azir', 'Orianna', 'Renekton', 'Vi']","['Jax', 'Kalista', 'Neeko', 'Alistar', 'Nautilus']",10,2,2,4,0,4,0,1,2,2
9,NRG,Team Liquid,NRG,31:38,60.5k,48.2k,22,4,"['Ziggs', 'Neeko', 'Lee Sin', 'Kennen', 'Renata Glasc']","['Jayce', 'Azir', 'Poppy', ""Kai'Sa"", 'Xayah']",9,1,1,2,2,3,0,0,2,0
10,Cloud9,LNG Esports,LNG Esports,32:14,55.5k,62.8k,6,14,"['Kalista', 'Maokai', 'Xayah', 'Poppy', ""K'Sante""]","['Taliyah', 'Orianna', 'Jarvan IV', 'Yone', 'Sylas']",4,0,1,1,2,10,2,1,4,0
