gameID,team,player,champion,kills,deaths,assists,cs,gold,rune,items
1,T1,Zeus,Jayce,6,3,4,348,16.6k,Conqueror,"[""Caulfield's Warhammer"", 'Eclipse', 'Muramana', ""Serylda's Grudge"", 'Spear Of Shojin', 'Ionian Boots of Lucidity']"
1,T1,Oner,Sejuani,0,3,10,177,10.2k,Aftershock,"['Plated Steelcaps', 'Radiant Virtue', 'Thornmail', 'Kindlegem', 'Negatron Cloak']"
1,T1,Faker,Orianna,5,4,4,348,15.1k,Phase Rush,"['Fiendish Codex', 'Void Staff', 'Broken Stopwatch', ""Mercury's Treads"", ""Rabadon's Deathcap"", ""Luden's Tempest""]"
1,T1,Gumayusi,Ashe,3,2,8,388,16.1k,Lethal Tempo,"['Trinity Force', 'Guardian Angel', ""Lord Dominik's Regards"", ""Berserker's Greaves"", 'Kraken Slayer']"
1,T1,Keria,Renata Glasc,1,2,12,24,9.1k,Guardian,"[""Knight's Vow"", 'Shard of True Ice', 'Radiant Virtue', 'Ionian Boots of Lucidity']"
1,Team Liquid,Summit,K'Sante,3,3,6,268,14k,Grasp of the Undying,"[""Randuin's Omen"", 'Iceborn Gauntlet', 'Plated Steelcaps', 'Abyssal Mask', 'Force of Nature']"
1,Team Liquid,Pyosik,Lee Sin,3,2,7,235,13.6k,Conqueror,"['Black Cleaver', 'Guardian Angel', 'Goredrinker', 'Control Ward', 'Phage', 'Plated Steelcaps']"
1,Team Liquid,APA,Syndra,5,4,1,316,15k,Summon Aery,"[""Sorcerer's Shoes"", ""Seeker's Armguard"", 'Broken Stopwatch', 'Void Staff', ""Liandry's Anguish"", ""Rabadon's Deathcap""]"
1,Team Liquid,Yeon,Aphelios,2,2,3,318,14.9k,Fleet Footwork,"['Infinity Edge', 'Stormrazor', ""Berserker's Greaves"", ""Lord Dominik's Regards"", 'Guardian Angel']"
1,Team Liquid,CoreJJ,Rell,1,4,6,52,8.9k,Aftershock,"['Radiant Virtue', ""Zhonya's Hourglass"", 'Bulwark of the Mountain', 'Control Ward', ""Mercury's Treads""]"
2,Cloud9,Fudge,Jax,4,2,3,268,13.9k,Lethal Tempo,"['Divine Sunderer', ""Mercury's Treads"", 'Ruby Crystal', ""Zhonya's Hourglass"", 'Spear Of Shojin']"
2,Cloud9,Blaber,Taliyah,0,0,8,252,12.9k,First Strike,"[""Liandry's Anguish"", 'Broken Stopwatch', ""Sorcerer's Shoes"", ""Rylai's Crystal Scepter"", ""Banshee's Veil""]"
2,Cloud9,EMENES,K'Sante,0,0,5,192,10.7k,Aftershock,"['Control Ward', ""Giant's Belt"", 'Bramble Vest', 'Abyssal Mask', 'Iceborn Gauntlet', ""Mercury's Treads""]"
2,Cloud9,Berserker,Xayah,5,0,1,352,14.5k,Lethal Tempo,"['Control Ward', 'Kraken Slayer', 'Navori Quickblades', ""Berserker's Greaves"", 'Bloodthirster']"
2,Cloud9,Zven,Alistar,1,1,6,35,7.8k,Glacial Augment,"['Ionian Boots of Lucidity', 'Radiant Virtue', 'Negatron Cloak', 'Bulwark of the Mountain', 'Control Ward', 'Ruby Crystal']"
2,MAD Lions,Chasy,Gwen,1,3,1,273,11.8k,Conqueror,"[""Zhonya's Hourglass"", 'Shadowflame', 'Riftmaker', 'Plated Steelcaps']"
2,MAD Lions,Elyoya,Jarvan IV,1,1,2,175,9.6k,Conqueror,"['Goredrinker', 'Control Ward', 'Plated Steelcaps', ""Sterak's Gage"", 'Cloth Armor', 'Stopwatch']"
2,MAD Lions,Nisqy,Syndra,0,2,0,291,12.1k,First Strike,"[""Rabadon's Deathcap"", 'Control Ward', 'Void Staff', ""Liandry's Anguish"", ""Sorcerer's Shoes""]"
2,MAD Lions,Carzzy,Ezreal,1,2,0,302,12.5k,Conqueror,"[""Serylda's Grudge"", 'Control Ward', 'Trinity Force', 'Noonquiver', 'Ionian Boots of Lucidity', 'Muramana']"
2,MAD Lions,Hylissang,Rakan,0,2,1,46,6.6k,Guardian,"['Bulwark of the Mountain', ""Mercury's Treads"", 'Radiant Virtue', 'Ruby Crystal', 'Control Ward', 'Ruby Crystal']"
3,Gen.G,Doran,K'Sante,4,2,9,191,10.1k,Grasp of the Undying,"[""Mercury's Treads"", 'Aegis of the Legion', 'Thornmail', 'Iceborn Gauntlet']"
3,Gen.G,Peanut,Vi,7,2,9,156,11.3k,Conqueror,"['Black Cleaver', 'Divine Sunderer', ""Mercury's Treads"", 'Broken Stopwatch', 'Chain Vest']"
3,Gen.G,Chovy,Ahri,6,0,12,202,11.1k,Electrocute,"['Everfrost', ""Zhonya's Hourglass"", ""Mejai's Soulstealer"", ""Mercury's Treads""]"
3,Gen.G,Peyz,Kai'Sa,5,1,8,231,11.6k,Hail of Blades,"[""Doran's Blade"", 'Recurve Bow', 'Fiendish Codex', ""Berserker's Greaves"", 'Umbral Glaive', 'Duskblade of Draktharr']"
3,Gen.G,Delight,Alistar,0,0,16,32,6.3k,Glacial Augment,"['Radiant Virtue', 'Broken Stopwatch', 'Bulwark of the Mountain', 'Control Ward', ""Mercury's Treads""]"
3,GAM Esports,Kiaya,Jax,3,7,1,167,9k,Grasp of the Undying,"['Divine Sunderer', ""Mercury's Treads"", 'Control Ward', 'Spear Of Shojin', ""Doran's Shield""]"
3,GAM Esports,Levi,Lee Sin,2,4,2,138,7.9k,Conqueror,"['Control Ward', 'Black Cleaver', 'Goredrinker', 'Slightly Magical Footwear']"
3,GAM Esports,Kati,Neeko,0,3,2,199,7.4k,Arcane Comet,"['Control Ward', 'Hextech Rocketbelt', 'Broken Stopwatch', ""Doran's Ring"", ""Sorcerer's Shoes"", 'Fiendish Codex']"
3,GAM Esports,Slayder,Xayah,0,3,2,223,8.3k,Lethal Tempo,"['Navori Quickblades', ""Berserker's Greaves"", 'Kraken Slayer', ""Doran's Blade""]"
3,GAM Esports,Palette,Sett,0,5,1,42,4.9k,Phase Rush,"['Pauldrons of Whiterock', 'Control Ward', ""Giant's Belt"", 'Cloth Armor', 'Null-Magic Mantle', ""Mercury's Treads""]"
4,Team BDS,Adam,Garen,2,4,3,205,11.9k,Phase Rush,"['Stridebreaker', 'Black Cleaver', 'Hullbreaker', 'Ruby Crystal', ""Berserker's Greaves""]"
4,Team BDS,Sheo,Vi,2,3,4,152,9.7k,Conqueror,"['Divine Sunderer', ""Spectre's Cowl"", 'Ruby Crystal', 'Control Ward', 'Black Cleaver', 'Plated Steelcaps']"
4,Team BDS,nuc,Cassiopeia,2,3,1,236,9.7k,Conqueror,"[""Seraph's Embrace"", 'Control Ward', ""Rylai's Crystal Scepter"", 'Rod of Ages', 'Amplifying Tome']"
4,Team BDS,Crownie,Xayah,0,2,0,265,9.6k,Lethal Tempo,"['Long Sword', 'Kraken Slayer', 'Navori Quickblades', ""Berserker's Greaves"", ""Doran's Blade"", 'Long Sword']"
4,Team BDS,Labrov,Rakan,0,2,3,46,6k,Glacial Augment,"['Bulwark of the Mountain', 'Radiant Virtue', 'Control Ward', ""Mercury's Treads""]"
4,JD Gaming,369,Ornn,2,2,11,206,10.3k,Grasp of the Undying,"['Control Ward', 'The Unspoken Parasite', 'Sunfire Aegis', 'Glacial Buckler', ""Doran's Shield"", 'Plated Steelcaps']"
4,JD Gaming,Kanavi,Jarvan IV,2,3,12,185,10.6k,Conqueror,"['Goredrinker', 'Spear Of Shojin', 'Control Ward', 'Frozen Heart', 'Slightly Magical Footwear']"
4,JD Gaming,knight,Ahri,6,1,4,265,12.6k,Electrocute,"[""Mejai's Soulstealer"", ""Sorcerer's Shoes"", 'Eternal Winter', 'Amplifying Tome', 'Horizon Focus']"
4,JD Gaming,Ruler,Kai'Sa,4,0,6,285,13.2k,Hail of Blades,"['Seething Sorrow', ""Nashor's Tooth"", 'Stormrazor', ""Berserker's Greaves"", ""Doran's Blade""]"
4,JD Gaming,MISSING,Alistar,0,0,11,25,6.4k,Glacial Augment,"['Radiant Virtue', 'Bulwark of the Mountain', 'Ionian Boots of Lucidity', 'Winged Moonplate']"
5,G2 Esports,BrokenBlade,Renekton,3,2,10,303,16.4k,Press the Attack,"['Gargoyle Stoneplate', 'Goredrinker', 'Spear Of Shojin', 'Guardian Angel', 'Plated Steelcaps']"
5,G2 Esports,Yike,Maokai,2,3,9,194,15.7k,First Strike,"[""Anathema's Chains"", 'Broken Stopwatch', 'Ionian Boots of Lucidity', 'Shadowflame', 'Radiant Virtue', 'Demonic Embrace']"
5,G2 Esports,Caps,Orianna,2,1,8,374,16.8k,Phase Rush,"[""Luden's Tempest"", 'Void Staff', ""Zhonya's Hourglass"", ""Mercury's Treads"", 'Dark Seal', ""Rabadon's Deathcap""]"
5,G2 Esports,Hans Sama,Draven,9,2,4,356,21.6k,Lethal Tempo,"['Trinity Force', 'Guardian Angel', ""Berserker's Greaves"", ""Lord Dominik's Regards"", 'Rapid Firecannon', 'Bloodthirster']"
5,G2 Esports,Mikyx,Renata Glasc,0,1,12,46,10.4k,Guardian,"['Locket of the Iron Solari', 'Redemption', 'Shard of True Ice', 'Ionian Boots of Lucidity', 'Chalice of Blessing']"
5,Dplus KIA,Canna,Jayce,4,5,1,345,16.4k,Conqueror,"[""Serylda's Grudge"", ""Caulfield's Warhammer"", 'Eclipse', 'Ionian Boots of Lucidity', 'Spear Of Shojin', 'Muramana']"
5,Dplus KIA,Canyon,Rell,0,1,8,179,11.1k,Aftershock,"['Control Ward', ""Randuin's Omen"", 'Radiant Virtue', 'Kindlegem', ""Spectre's Cowl"", ""Mercury's Treads""]"
5,Dplus KIA,ShowMaker,Azir,2,2,7,384,16.4k,Hail of Blades,"['Morellonomicon', 'Stopwatch', 'Void Staff', ""Sorcerer's Shoes"", ""Luden's Tempest"", ""Nashor's Tooth""]"
